Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Recovered,Active,Serious_Critical,Tot_Cases_1Mpop,Deaths/1 M pop,Tests,Tests/1Mpop
Uzbekistan,582,37,3,,38,541,8,17,0.09,"70,000","2,091"
Cyprus,564,38,10,1,53,501,13,467,8,"14,273","11,822"
Cuba,515,58,15,3,28,472,15,45,1,"9,410",831
Costa Rica,502,,3,,29,470,15,99,0.6,"6,035","1,185"
Afghanistan,484,40,15,1,32,437,,12,0.4,,
Oman,457,38,3,1,109,345,3,89,0.6,,
Uruguay,456,,7,,192,257,14,131,2,"6,175","1,778"
Burkina Faso,443,29,24,1,146,273,,21,1,,
Albania,409,9,23,1,165,221,7,142,8,"3,223","1,120"
Ivory Coast,384,,3,,48,333,,15,0.1,,
Taiwan,380,1,5,,80,295,,16,0.2,"42,315","1,777"
Jordan,372,14,7,1,161,204,5,36,0.7,"17,000","1,666"
Réunion,362,,,,40,322,4,404,,,
Channel Islands,361,10,8,,40,313,,"2,076",46,"1,157","6,655"
Honduras,343,31,23,1,6,314,10,35,2,,
Niger,342,,11,,28,303,,14,0.5,"4,199",173
Malta,337,38,2,1,16,319,4,763,5,"13,732","31,100"
Bangladesh,330,112,21,1,33,276,1,2,0.1,"6,175",37
Mauritius,314,41,7,,23,284,3,247,6,"4,913","3,863"
Ghana,313,,6,,34,273,2,10,0.2,,
San Marino,308,,34,,45,229,14,"9,077","1,002",722,"21,278"
Kyrgyzstan,280,10,4,,35,241,5,43,0.6,"9,618","1,474"
Nigeria,276,,6,,44,226,2,1,0.03,"5,000",24
Bolivia,264,54,18,3,2,244,3,23,2,591,51
Palestine,263,,1,,44,218,,52,0.2,"16,068","3,150"
Vietnam,255,4,,,128,127,8,3,,"114,241","1,174"
Montenegro,252,4,2,,4,246,7,401,3,"2,329","3,708"
Senegal,250,6,2,,123,125,1,15,0.1,,
Georgia,218,7,3,,51,164,6,55,0.8,"3,271",820
Guinea,194,30,,,11,183,,15,,,
Sri Lanka,190,1,7,,49,134,5,9,0.3,"3,248",152
Isle of Man,190,32,1,,92,97,12,"2,234",12,"1,879","22,097"
Kenya,184,5,7,1,12,165,2,3,0.1,"5,278",98
Mayotte,184,,2,,22,160,3,674,7,"1,100","4,032"
Faeroe Islands,184,,,,136,48,,"3,766",,"5,299","108,446"
DRC,180,,18,,9,153,,2,0.2,,
Venezuela,167,,9,,65,93,6,6,0.3,"1,779",63
Martinique,154,,6,,50,98,19,410,16,,
Guadeloupe,141,,8,,43,90,13,352,20,,
Brunei,135,,1,,92,42,3,309,2,"8,985","20,538"
Djibouti,135,,,,25,110,,137,,"3,106","3,144"
Paraguay,124,5,5,,18,101,1,17,0.7,"2,039",286
Gibraltar,123,3,,,60,63,1,"3,651",,"1,511","44,849"
Cambodia,119,2,,,63,56,1,7,,"5,768",345
Rwanda,110,,,,7,103,,8,,806,62
Trinidad and Tobago,109,2,8,,1,100,,78,6,987,705
El Salvador,103,10,5,,10,88,3,16,0.8,,
Guatemala,95,8,3,,17,75,3,5,0.2,"1,134",63
Madagascar,93,,,,11,82,1,3,,,
Monaco,84,3,1,,5,78,4,"2,141",25,,
French Guiana,83,,,,43,40,1,278,,,
Aruba,82,5,,,20,62,,768,,"1,008","9,441"
Liechtenstein,78,,1,,55,22,,"2,046",26,900,"23,605"
Mali,74,15,7,,22,45,,4,0.3,,
Togo,73,3,3,,24,46,,9,0.4,"1,747",211
Jamaica,63,,4,,10,49,,21,1,907,306
Barbados,63,,3,,8,52,4,219,10,655,"2,279"
Congo,60,15,5,,5,50,,11,0.9,,
Ethiopia,56,1,2,,4,50,2,0.5,0.02,"2,790",24
Uganda,53,,,,,53,,1,,"3,310",72
French Polynesia,51,,,,,51,,182,,744,"2,649"
Cayman Islands,45,,1,,6,38,,685,15,479,"7,288"
Macao,45,,,,10,35,1,69,,,
Sint Maarten,43,3,6,,1,36,2,"1,003",140,112,"2,612"
Bahamas,40,,7,,5,28,1,102,18,,
Bermuda,39,,3,,23,13,,626,48,315,"5,058"
Zambia,39,,1,,7,31,1,2,0.05,"1,239",67
Guyana,37,,6,,8,23,4,47,8,145,184
Guinea-Bissau,36,3,,,,36,,18,,"1,500",762
Gabon,34,,1,,1,32,,15,0.4,,
Eritrea,33,,,,,33,,9,,,
Saint Martin,32,,2,,7,23,6,828,52,,
Liberia,31,,4,,3,24,,6,0.8,,
Haiti,30,3,2,1,,28,,3,0.2,257,23
Benin,26,,1,,5,20,,2,0.08,,
Tanzania,25,,1,,5,19,,0.4,0.02,,
Myanmar,23,1,3,,1,19,,0.4,0.06,"1,246",23
Libya,21,,1,,8,12,,3,0.1,374,54
Angola,19,,2,,2,15,,0.6,0.06,,
Antigua and Barbuda,19,,2,,,17,1,194,20,40,408
Syria,19,,2,,4,13,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
Equatorial Guinea,18,,,,3,15,,13,,854,609
New Caledonia,18,,,,1,17,,63,,"2,320","8,126"
Mozambique,17,,,,1,16,,0.5,,483,15
Laos,16,1,,,,16,,2,,903,124
Mongolia,16,,,,4,12,,5,,,
Namibia,16,,,,3,13,,6,,362,142
Sudan,15,1,2,,2,11,,0.3,0.05,,
Dominica,15,,,,1,14,,208,,293,"4,070"
Fiji,15,,,,,15,,17,,,
Curaçao,14,,1,,7,6,,85,6,,
Saint Lucia,14,,,,1,13,,76,,,
Botswana,13,7,1,,,12,,6,0.4,"1,154",491
Somalia,12,,1,,1,10,,0.8,0.06,,
Grenada,12,,,,,12,2,107,,45,400
Eswatini,12,,,,7,5,,10,,,
Zimbabwe,11,,3,,,8,,0.7,0.2,371,25
Chad,11,1,,,2,9,,0.7,,,
Greenland,11,,,,11,0,,194,,770,"13,564"
Saint Kitts and Nevis,11,,,,,11,,207,,183,"3,440"
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,4,5,,17,2,,
MS Zaandam,9,,2,,,7,,,,,
Belize,9,1,1,,,8,1,23,3,364,915
Nepal,9,,,,1,8,,0.3,,"2,366",81
Montserrat,9,,,,,9,1,"1,803",,36,"7,212"
Malawi,8,,1,,,7,1,0.4,0.05,,
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576"
CAR,8,,,,,8,,2,,,
Vatican City,8,,,,2,6,,"9,988",,,
St. Vincent Grenadines,8,,,,1,7,,72,,56,505
Cabo Verde,7,,1,,1,5,,13,2,,
Mauritania,7,1,1,,2,4,,2,0.2,67,14
Sierra Leone,7,,,,,7,,0.9,,,
Nicaragua,6,,1,,,5,,0.9,0.2,,
St. Barth,6,,,,1,5,,607,,,
Bhutan,5,,,,2,3,,6,,"1,166","1,511"
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368"
Gambia,4,,1,,2,1,,2,0.4,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
South Sudan,3,1,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Papua New Guinea,2,,,,,2,,0.2,,72,8
Saint Pierre Miquelon,1,,,,,1,,173,,,
Timor-Leste,1,,,,,1,,0.8,,,
